school_name,Website - Food Pantry,url
University of Southern California,https://seip.usc.edu/centers/studentbasicneeds/tfp/,https://campussupport.usc.edu/students/basic-needs/
"University of North Carolina, Chapel Hill",https://carolinacupboard.web.unc.edu/,https://dos.unc.edu/student-support/basicneeds/
University of Florida,https://pantry.fieldandfork.ufl.edu/,https://dso.ufl.edu/areas_services/care/
"University of California, Los Angeles",https://www.studentincrisis.ucla.edu/Economic-Crisis-Response,https://bewellbruin.ucla.edu/resource/ucla-basic-needs
"University of Texas, Dallas",https://deanofstudents.utexas.edu/emergency/utoutpost.php,https://basicneeds.utdallas.edu/
University of Georgia,https://studentaffairs.uga.edu/initiatives/food-scholarship/,https://well-being.uga.edu/basic-needs/
University of Michigan State,https://foodbank.msu.edu/,https://socialwork.msu.edu/students/student-advocates-for-essential-needs-security.html
University of Penn State,https://thelionspantry.psu.edu/,https://studentaffairs.psu.edu/basic-needs-support
University of Auburn,https://auburn.campuslabs.com/engage/organization/campus-food-pantry,https://hsi.auburn.edu/au-hfhe/
University of Syracuse,https://chapel.syracuse.edu/services/food-pantry/,https://experience.syracuse.edu/student-outreach/campus-community/
"University of California, Davis",https://thepantry.ucdavis.edu/,https://financialaid.ucdavis.edu/wellness-outreach/basic-needs
University of Kentucky,https://www.uky.edu/basicneeds/big-blue-pantry,https://studentsuccess.uky.edu/financial-wellness/basic-needs
University of Central Florida,https://studentunion.ucf.edu/knights-pantry/,https://scs.sswb.ucf.edu/
"University of Illinois, Urbana-Champaign",https://odos.illinois.edu/community-of-care/resources/students/food-pantry/,https://wellness.illinois.edu/basic-needs-and-financial-help
University of Purdue,https://www.purdue.edu/vpsl/leadership/About/ACE_Campus_Pantry.html,https://www.purdue.edu/caps/students/resources/self-help/basic-needs.php
"University of Rugters, New Brunswick",https://rutgershealth.org/rbhs-food-pantry-newark,https://ruoffcampus.rutgers.edu/basic-needs
"University of Wisconsin, Madison",https://students.wisc.edu/make-a-gift/open-seat-food-pantry/,https://basicneeds.students.wisc.edu/osfa-basic-needs/
University of Washington,https://www.washington.edu/anyhungryhusky/the-uw-food-pantry/,https://livewell.uw.edu/needsnav/
University of Oregon ,https://basicneeds.uoregon.edu/student-food-pantry-hours,https://basicneeds.uoregon.edu/
"University of Maryland, College Park",https://dining.umd.edu/sustainability/campus-pantry,https://studentaffairs.umd.edu/basic-needs-security
"University of Indiana, Bloomington",https://studentlife.indiana.edu/care-advocacy/care-and-resource-center/food-pantry.html,https://studentlife.indiana.edu/care-advocacy/care-and-resource-center/basic-needs.html
University of South Carolina,,https://sc.edu/about/offices_and_divisions/student_affairs/our_initiatives/health_and_well-being/student_care_and_outreach_team/basic_needs/
University of Louisiana State,,https://www.lsu.edu/saa/students/advocacy/resources.php
University of Minnesota,,https://osa.umn.edu/resources-for-students
"University of Nebraska, Lincoln",,https://studentadvocacy.unl.edu/emergency-basic-needs/
University of Iowa,,https://basicneeds.uiowa.edu/
University of Kansas,,https://help.ku.edu/student-resources
University of Oklahoma State,,https://campuslife.okstate.edu/student-support/basicneeds.html
University of Texas Tech,,https://www.depts.ttu.edu/raiderrelief/
University of Arizona,,https://basicneeds.arizona.edu/
University of Washington State,,https://studentaffairs.wsu.edu/start-here/i-need-help-with/basic-needs/
University of Oregon State,,https://studentlife.oregonstate.edu/bnc
University of West Virginia,,https://wrc.wvu.edu/resources/basic-needs
University of Virginia,,https://www.studenthealth.virginia.edu/care-and-support-services/basic-needs-resources
University of Pittsburgh,,https://www.sustainable.pitt.edu/campus-culture/basic-needs/
University of North Carolina State,,https://dasa.ncsu.edu/about/giving/support-student-basic-needs/
"University of Colorado, Boulder",,https://www.colorado.edu/support/basicneeds/
University of Missouri,,https://studentaffairs.missouri.edu/care-team/additional-resources/
University of Utah,,https://basicneeds.utah.edu/
University of Baylor,,https://soar.web.baylor.edu/student-basic-needs/about-baylors-student-basic-needs-food-insecurity-work
University of Kansas State,,https://housing.k-state.edu/living-options/handbooks/reshall_handbookpages/reshall_resources.html
University of Arkansas State,,https://www.astate.edu/a/dean-of-students/resources/
University of Mississippi,,https://umatter.olemiss.edu/basic-needs/
University of Alabama,https://bamacares.sl.ua.edu/,https://bamacares.sl.ua.edu/
"University of Tennessee, Knoxville",https://studentlife.utk.edu/basic-needs/,https://studentlife.utk.edu/basic-needs/
"University of Nevada, Las Vegas",https://www.unlv.edu/student-affairs/units/student-support-advocacy/basic-needs,https://www.unlv.edu/student-affairs/units/student-support-advocacy/basic-needs
University of New Mexico,https://basicneeds.unm.edu/,https://basicneeds.unm.edu/
University of Hawaii,https://www.hawaii.edu/student-basic-needs/resources/manoa/,https://www.hawaii.edu/student-basic-needs/resources/manoa/
University of Alaska,https://ctl.uaf.edu/2019/09/08/support-students-basic-needs/,https://ctl.uaf.edu/2019/09/08/support-students-basic-needs/
University of Vermont,https://www.uvm.edu/oscr/support-resources-2024-2025,https://www.uvm.edu/oscr/support-resources-2024-2025
University of Rhode Island,https://web.uri.edu/rhody-outpost/,https://web.uri.edu/rhody-outpost/
University of Delaware,https://www.udel.edu/students/support/,https://www.udel.edu/students/support/
University of Houston,https://uh.edu/csac/resources/essential-needs/,https://uh.edu/csac/resources/essential-needs/
University of Massachusetts Amherst,https://www.umass.edu/dean-students/student-support/basic-needs,https://www.umass.edu/dean-students/student-support/basic-needs
University of Cincinnati,https://cech.uc.edu/current-students/student-services-center0/basic-needs-and-social-services.html,https://cech.uc.edu/current-students/student-services-center0/basic-needs-and-social-services.html
University of Colorado Denver,https://www.ucdenver.edu/wellness/services/basic-needs,https://www.ucdenver.edu/wellness/services/basic-needs
University of South Florida,https://www.usf.edu/world/for-students/global-engagement-on-campus/student-resources-help.aspx,https://www.usf.edu/world/for-students/global-engagement-on-campus/student-resources-help.aspx
University of Louisville,https://student.louisville.edu/support-services/get-help-support,https://student.louisville.edu/support-services/get-help-support
University of Alabama at Birmingham,https://www.uab.edu/redfolder/student-basic-needs,https://www.uab.edu/redfolder/student-basic-needs
"University of California, Irvine",https://basicneeds.uci.edu/,https://basicneeds.uci.edu/
"University of California, San Diego",https://basicneeds.ucsd.edu/,https://basicneeds.ucsd.edu/
